"id","intern nummer","machinenummer","type","merk","model","serienummer","bouwjaar","keuringsrapporten","verhuurregels","status"
"16a80c6b-16e0-4ae9-85df-98c6b327a70a","","verno-linde-e45","batterij_lader","Batterij BV","Traktie 5pzs775","","2016","1","0","available"
"a3dd2925-5c10-48c8-9796-53b52d184286","W4X 372 W03035","W4X 372 W03035","batterij_lader","Classic","Traktie 3pzs375","W4X 372 W03035","2008","1","0","available"
"3312488f-e26e-4eed-9efd-4efd17247e6c","W4X1152D02500","W4X1152D02500","batterij_lader","Tab","Traktie 2Pzs210","W4X1152D02500","2013","2","0","available"
"4ffe6c78-af50-4e0c-bca7-ab22fac456fa","","W4X132G01963","palletwagen_stapelaar","Linde","N24","W4X132G01963","2016","1","0","available"
"c0fbfd82-acfc-4a7f-8a23-e4f62f259bf2","W4X132G01963","W4X132G01963-bl","batterij_lader","Hawker","Traktie","W4X132G01963","2016","1","0","available"
"464a226c-db85-4b32-a586-bb494617e97b","","W4x133h00846","palletwagen_stapelaar","Linde","D12. L12ap","W4x133h00846","2017","1","0","available"
"d3e718a4-8210-4ebb-bfef-385564ce9159","W4X133H00846","W4X133H00846-bl","batterij_lader","Hawker","3pzs375","W4X133H00846","2017","1","0","available"
"396078bb-b93e-4717-987d-8aef7bda25c3","W4X360 W0421","W4X360 W0421","batterij_lader","Sun","Traktie 2 pzs","W4X360 W0421","2008","1","0","available"
"d0bca939-7469-4597-b730-4bf20cf6a4aa","WX1152D01336","WX1152D01336","batterij_lader","Batterijbv","Traktie 2pzb150","WX1152D01336","2012","1","0","available"
"859e6001-f3ed-4058-8cf9-f0effd79ece0","","Z3407-6277","hoogwerker","Genie","Z34/22","Z3407-6277","2007","1","0","available"
